set,missed_task,miss_time
1,0,
2,2,424
3,3,801
4,0,
5,2,338
6,3,734
7,2,709
8,1,635
9,0,
10,0,
11,0,
12,5,2497
13,0,
14,0,
15,5,287
16,5,579
17,2,751
18,2,244
19,2,395
20,2,585
21,0,
22,4,403
23,4,249
24,1,507
25,1,235
26,3,13242
27,0,
28,4,365
29,4,26708
30,2,684
31,1,580
32,3,7943
33,4,645
34,0,
35,0,
36,5,587
37,0,
38,1,781
39,0,
40,1,295
41,0,
42,1,1307
43,0,
44,1,413
45,0,
46,4,614
47,1,278
48,4,636
49,0,
50,0,
51,0,
52,4,526
53,0,
54,0,
55,0,
56,4,87547
57,2,876
58,0,
59,0,
60,4,390
61,3,446
62,5,139
63,1,788
64,0,
65,0,
66,4,171
67,0,
68,5,584
69,0,
70,0,
71,2,110
72,4,566
73,2,221
74,3,497
75,2,13262
76,3,225
77,2,1513
78,4,529
79,2,548
80,5,344
81,3,583
82,4,817
83,4,735
84,2,173
85,2,348
86,4,2669
87,2,90
88,2,744
89,4,626
90,3,577
91,2,291
92,5,40802
93,0,
94,0,
95,5,225
96,1,258
97,0,
98,0,
99,0,
100,0,
