set,task,T,C,D
1,1,277,1,225
1,2,100,15,82
1,3,358,82,358
1,4,290,65,237
1,5,848,240,704
2,1,518,44,434
2,2,428,174,424
2,3,476,87,413
2,4,502,59,426
2,5,822,85,690
3,1,820,78,736
3,2,442,120,412
3,3,965,416,801
3,4,824,26,677
3,5,113,7,91
4,1,679,166,674
4,2,668,140,630
4,3,847,234,825
4,4,377,54,354
4,5,846,18,803
5,1,465,134,454
5,2,375,151,338
5,3,617,95,515
5,4,732,4,691
5,5,276,12,233
6,1,582,60,582
6,2,442,47,442
6,3,843,321,734
6,4,346,94,312
6,5,473,16,393
7,1,568,17,506
7,2,792,385,709
7,3,775,97,724
7,4,898,224,799
7,5,896,5,734
8,1,771,350,635
8,2,911,45,874
8,3,694,245,670
8,4,371,12,361
8,5,184,1,161
9,1,831,21,700
9,2,950,271,839
9,3,674,183,613
9,4,693,81,654
9,5,115,22,104
10,1,968,316,835
10,2,671,156,662
10,3,182,34,161
10,4,612,81,553
10,5,445,6,393
11,1,121,30,107
11,2,452,157,431
11,3,624,34,624
11,4,538,75,461
11,5,394,42,325
12,1,196,29,181
12,2,329,61,268
12,3,226,17,225
12,4,954,195,823
12,5,282,78,241
13,1,527,18,506
13,2,357,42,327
13,3,661,138,550
13,4,346,87,301
13,5,830,235,708
14,1,283,1,269
14,2,307,60,264
14,3,658,184,542
14,4,103,31,96
14,5,672,80,657
15,1,971,78,793
15,2,816,30,720
15,3,762,44,637
15,4,215,53,178
15,5,298,141,287
16,1,880,160,784
16,2,659,53,581
16,3,328,62,299
16,4,810,116,665
16,5,655,198,579
17,1,779,41,661
17,2,414,196,337
17,3,564,61,510
17,4,827,26,784
17,5,862,199,848
18,1,837,59,721
18,2,273,134,244
18,3,281,7,251
18,4,521,40,461
18,5,208,48,175
19,1,637,2,551
19,2,407,91,395
19,3,111,35,98
19,4,880,83,829
19,5,187,47,167
20,1,417,52,367
20,2,595,263,585
20,3,161,21,134
20,4,758,58,703
20,5,226,27,212
21,1,551,46,485
21,2,657,120,615
21,3,759,346,718
21,4,848,98,834
21,5,376,22,305
22,1,135,27,124
22,2,308,62,269
22,3,887,31,874
22,4,499,122,403
22,5,179,38,150
23,1,819,19,770
23,2,207,45,204
23,3,158,6,156
23,4,304,167,249
23,5,506,31,497
24,1,620,287,507
24,2,277,29,231
24,3,487,6,473
24,4,585,78,581
24,5,499,91,408
25,1,279,102,235
25,2,264,52,263
25,3,434,1,418
25,4,690,75,636
25,5,128,28,111
26,1,690,80,667
26,2,803,142,735
26,3,102,39,84
26,4,896,144,869
26,5,440,23,417
27,1,267,24,258
27,2,495,126,418
27,3,558,213,493
27,4,315,42,255
27,5,120,4,102
28,1,898,94,880
28,2,510,71,467
28,3,440,86,397
28,4,378,134,365
28,5,493,50,405
29,1,379,15,343
29,2,657,213,559
29,3,836,17,790
29,4,399,169,374
29,5,648,57,534
30,1,819,232,779
30,2,727,341,684
30,3,404,52,350
30,4,920,5,843
30,5,231,2,228
31,1,713,374,580
31,2,368,12,356
31,3,268,72,224
31,4,162,8,130
31,5,325,7,284
32,1,933,202,846
32,2,705,43,640
32,3,331,96,330
32,4,345,88,312
32,5,869,63,736
33,1,244,71,214
33,2,868,135,842
33,3,775,44,646
33,4,701,221,645
33,5,734,57,706
34,1,523,16,460
34,2,888,16,751
34,3,161,41,142
34,4,664,268,595
34,5,174,33,171
35,1,421,94,386
35,2,980,183,973
35,3,356,62,328
35,4,176,25,174
35,5,413,69,409
36,1,828,42,746
36,2,940,62,890
36,3,931,118,861
36,4,854,67,850
36,5,649,374,587
37,1,724,27,618
37,2,110,30,92
37,3,984,220,973
37,4,775,124,729
37,5,558,110,450
38,1,843,291,781
38,2,876,68,757
38,3,677,50,547
38,4,458,73,376
38,5,903,217,833
39,1,989,447,928
39,2,746,47,642
39,3,529,34,522
39,4,964,200,946
39,5,177,19,150
40,1,329,115,295
40,2,557,96,463
40,3,885,101,834
40,4,376,58,327
40,5,768,81,742
41,1,757,34,742
41,2,706,121,612
41,3,732,174,646
41,4,887,297,733
41,5,910,98,849
42,1,452,139,403
42,2,907,105,776
42,3,826,149,668
42,4,234,68,233
42,5,972,1,882
43,1,152,14,141
43,2,970,61,862
43,3,475,34,428
43,4,106,30,99
43,5,947,361,785
44,1,437,146,413
44,2,186,21,181
44,3,668,84,659
44,4,336,86,270
44,5,719,46,588
45,1,115,27,110
45,2,374,65,359
45,3,738,132,641
45,4,809,192,705
45,5,148,9,145
46,1,235,44,234
46,2,971,49,948
46,3,296,19,268
46,4,673,341,614
46,5,273,24,236
47,1,279,119,278
47,2,942,61,791
47,3,554,13,536
47,4,300,57,294
47,5,197,38,177
48,1,966,95,779
48,2,102,32,83
48,3,706,92,588
48,4,728,230,636
48,5,276,10,240
49,1,261,47,253
49,2,303,68,276
49,3,399,21,398
49,4,671,99,646
49,5,977,282,791
50,1,697,53,693
50,2,575,125,461
