set,task,T,C,D
1,1,979,51,979
1,2,978,4,978
1,3,960,116,960
1,4,277,24,277
1,5,487,22,487
1,6,237,15,237
1,7,427,11,427
1,8,162,80,162
2,1,506,8,506
2,2,985,17,985
2,3,561,142,561
2,4,149,7,149
2,5,959,293,959
2,6,939,43,939
2,7,697,96,697
2,8,675,46,675
3,1,102,22,102
3,2,908,36,908
3,3,764,30,764
3,4,991,32,991
3,5,110,1,110
3,6,962,400,962
3,7,809,32,809
3,8,850,84,850
4,1,443,163,443
4,2,953,46,953
4,3,664,14,664
4,4,142,20,142
4,5,780,10,780
4,6,401,2,401
4,7,765,4,765
4,8,612,175,612
5,1,435,21,435
5,2,718,85,718
5,3,536,40,536
5,4,527,103,527
5,5,575,221,575
5,6,267,2,267
5,7,347,21,347
5,8,443,1,443
6,1,545,86,545
6,2,853,57,853
6,3,592,94,592
6,4,486,36,486
6,5,304,41,304
6,6,884,70,884
6,7,476,67,476
6,8,119,9,119
7,1,685,44,685
7,2,938,190,938
7,3,202,9,202
7,4,898,46,898
7,5,554,3,554
7,6,485,207,485
7,7,552,46,552
7,8,318,4,318
8,1,206,24,206
8,2,963,8,963
8,3,413,114,413
8,4,799,187,799
8,5,982,70,982
8,6,627,2,627
8,7,546,73,546
8,8,270,13,270
9,1,907,130,907
9,2,400,8,400
9,3,841,47,841
9,4,989,41,989
9,5,420,139,420
9,6,879,151,879
9,7,893,69,893
9,8,138,7,138
10,1,513,46,513
10,2,182,22,182
10,3,866,6,866
10,4,167,45,167
10,5,718,1,718
10,6,811,245,811
10,7,567,14,567
10,8,704,49,704
11,1,137,1,137
11,2,800,247,800
11,3,643,92,643
11,4,631,110,631
11,5,560,9,560
11,6,153,30,153
11,7,341,2,341
11,8,627,22,627
12,1,541,76,541
12,2,413,24,413
12,3,234,21,234
12,4,324,7,324
12,5,429,22,429
12,6,980,32,980
12,7,287,2,287
12,8,687,335,687
13,1,215,7,215
13,2,541,48,541
13,3,422,140,422
13,4,242,6,242
13,5,895,258,895
13,6,854,16,854
13,7,880,24,880
13,8,348,28,348
14,1,601,4,601
14,2,248,4,248
14,3,955,204,955
14,4,759,130,759
14,5,726,119,726
14,6,674,117,674
14,7,676,1,676
14,8,796,118,796
15,1,289,43,289
15,2,235,46,235
15,3,355,13,355
15,4,409,34,409
15,5,617,35,617
15,6,531,79,531
15,7,263,54,263
15,8,363,5,363
16,1,750,7,750
16,2,283,2,283
16,3,246,26,246
16,4,395,9,395
16,5,961,146,961
16,6,380,97,380
16,7,569,133,569
16,8,587,63,587
17,1,446,10,446
17,2,624,85,624
17,3,640,12,640
17,4,567,31,567
17,5,984,304,984
17,6,485,7,485
17,7,614,64,614
17,8,332,77,332
18,1,364,27,364
18,2,655,21,655
18,3,488,161,488
18,4,867,13,867
18,5,430,59,430
18,6,851,18,851
18,7,528,11,528
18,8,601,159,601
19,1,553,97,553
19,2,537,21,537
19,3,524,1,524
19,4,369,32,369
19,5,965,195,965
19,6,728,2,728
19,7,652,84,652
19,8,194,50,194
20,1,366,19,366
20,2,537,22,537
20,3,614,54,614
20,4,659,30,659
20,5,329,91,329
20,6,958,40,958
20,7,307,26,307
20,8,644,168,644
21,1,559,100,559
21,2,125,3,125
21,3,184,36,184
21,4,249,15,249
21,5,626,31,626
21,6,358,106,358
21,7,712,48,712
21,8,689,8,689
22,1,825,11,825
22,2,998,128,998
22,3,731,182,731
22,4,425,53,425
22,5,910,51,910
22,6,972,108,972
22,7,476,85,476
22,8,280,9,280
23,1,966,107,966
23,2,775,134,775
23,3,313,66,313
23,4,970,32,970
23,5,804,75,804
23,6,585,47,585
23,7,336,9,336
23,8,963,157,963
24,1,931,30,931
24,2,601,12,601
24,3,232,30,232
24,4,470,48,470
24,5,917,316,917
24,6,219,20,219
24,7,456,56,456
24,8,476,23,476
25,1,486,1,486
25,2,377,74,377
25,3,123,6,123
25,4,438,36,438
25,5,965,210,965
25,6,994,20,994
25,7,918,43,918
25,8,115,31,115
26,1,610,73,610
26,2,874,49,874
26,3,154,40,154
26,4,270,5,270
26,5,944,23,944
26,6,416,109,416
26,7,181,6,181
26,8,437,52,437
27,1,343,18,343
27,2,975,7,975
27,3,631,108,631
27,4,180,32,180
27,5,215,20,215
27,6,533,75,533
27,7,230,16,230
27,8,732,129,732
28,1,990,5,990
28,2,618,25,618
28,3,721,37,721
28,4,377,36,377
28,5,980,184,980
28,6,612,92,612
28,7,422,119,422
28,8,711,58,711
29,1,561,44,561
29,2,635,45,635
29,3,511,56,511
29,4,868,39,868
29,5,794,186,794
29,6,741,169,741
29,7,770,35,770
29,8,722,60,722
30,1,610,199,610
30,2,161,6,161
30,3,566,7,566
30,4,666,80,666
30,5,121,1,121
30,6,953,256,953
30,7,543,18,543
30,8,897,75,897
31,1,693,98,693
31,2,150,5,150
31,3,898,62,898
31,4,230,59,230
31,5,303,33,303
31,6,988,192,988
31,7,132,5,132
31,8,802,35,802
32,1,621,125,621
32,2,394,16,394
32,3,275,8,275
32,4,507,16,507
32,5,455,41,455
32,6,191,1,191
32,7,263,118,263
32,8,287,12,287
33,1,392,29,392
33,2,435,2,435
33,3,373,10,373
33,4,558,48,558
33,5,143,3,143
33,6,870,1,870
33,7,989,271,989
33,8,719,288,719
34,1,907,266,907
34,2,700,39,700
34,3,267,6,267
34,4,885,99,885
34,5,131,1,131
34,6,995,2,995
34,7,816,304,816
34,8,959,33,959
35,1,534,117,534
35,2,658,16,658
35,3,744,41,744
35,4,129,21,129
35,5,449,88,449
35,6,257,22,257
35,7,445,49,445
35,8,233,9,233
36,1,892,46,892
36,2,208,32,208
36,3,736,53,736
36,4,823,62,823
36,5,304,33,304
36,6,705,61,705
36,7,103,19,103
36,8,940,140,940
37,1,853,4,853
37,2,602,161,602
37,3,172,3,172
37,4,201,29,201
37,5,519,28,519
37,6,378,60,378
37,7,866,114,866
37,8,581,64,581
38,1,476,85,476
38,2,370,52,370
38,3,628,280,628
38,4,257,13,257
38,5,519,27,519
38,6,188,1,188
38,7,294,3,294
38,8,659,10,659
39,1,283,106,283
39,2,593,61,593
39,3,364,3,364
39,4,948,108,948
39,5,172,5,172
39,6,774,81,774
39,7,713,69,713
39,8,597,35,597
40,1,883,47,883
40,2,186,2,186
40,3,770,101,770
40,4,361,28,361
40,5,737,16,737
40,6,627,140,627
40,7,176,12,176
40,8,229,70,229
41,1,484,22,484
41,2,431,9,431
41,3,562,45,562
41,4,445,2,445
41,5,835,33,835
41,6,334,6,334
41,7,695,310,695
41,8,176,41,176
42,1,309,12,309
42,2,886,140,886
42,3,841,65,841
42,4,766,36,766
42,5,802,156,802
42,6,149,24,149
42,7,237,13,237
42,8,143,22,143
43,1,528,24,528
43,2,874,313,874
43,3,894,134,894
43,4,781,71,781
43,5,481,74,481
43,6,930,1,930
43,7,907,82,907
43,8,476,3,476
44,1,708,29,708
44,2,906,164,906
44,3,844,32,844
44,4,700,7,700
44,5,468,88,468
44,6,483,4,483
44,7,758,297,758
44,8,607,21,607
45,1,438,41,438
45,2,304,3,304
45,3,204,61,204
45,4,247,9,247
45,5,788,73,788
45,6,462,23,462
45,7,771,153,771
45,8,174,19,174
46,1,448,12,448
46,2,930,92,930
46,3,958,1,958
46,4,643,19,643
46,5,933,55,933
46,6,601,38,601
46,7,674,261,674
46,8,954,220,954
47,1,517,121,517
47,2,325,6,325
47,3,873,8,873
47,4,913,106,913
47,5,612,6,612
47,6,443,119,443
47,7,401,77,401
47,8,794,33,794
48,1,172,34,172
48,2,603,76,603
48,3,106,3,106
48,4,185,46,185
48,5,933,45,933
48,6,734,13,734
48,7,852,170,852
48,8,518,9,518
49,1,882,118,882
49,2,564,58,564
49,3,520,9,520
49,4,420,87,420
49,5,950,336,950
49,6,712,35,712
49,7,224,1,224
49,8,639,17,639
50,1,682,5,682
50,2,262,28,262
50,3,176,17,176
50,4,775,41,775
50,5,953,100,953
50,6,126,6,126
50,7,658,218,658
50,8,377,50,377
51,1,601,20,601
51,2,288,43,288
51,3,450,1,450
51,4,679,87,679
51,5,221,5,221
51,6,478,173,478
51,7,529,31,529
51,8,853,113,853
52,1,877,4,877
52,2,633,165,633
52,3,415,15,415
52,4,883,41,883
52,5,645,66,645
52,6,493,51,493
52,7,421,44,421
52,8,251,59,251
53,1,486,1,486
53,2,344,31,344
53,3,628,274,628
53,4,242,13,242
53,5,360,3,360
53,6,312,23,312
53,7,384,24,384
53,8,570,93,570
54,1,560,29,560
54,2,735,15,735
54,3,485,143,485
54,4,557,69,557
54,5,265,9,265
54,6,261,2,261
54,7,660,48,660
54,8,214,61,214
55,1,301,35,301
55,2,943,1,943
55,3,911,5,911
55,4,764,81,764
55,5,784,185,784
55,6,796,11,796
55,7,374,101,374
55,8,557,81,557
56,1,924,107,924
56,2,258,1,258
56,3,294,2,294
56,4,342,105,342
56,5,533,17,533
56,6,458,35,458
56,7,377,103,377
56,8,877,74,877
57,1,155,8,155
57,2,728,56,728
57,3,788,41,788
57,4,662,62,662
57,5,180,34,180
57,6,158,5,158
57,7,586,17,586
57,8,163,59,163
58,1,134,6,134
58,2,456,24,456
58,3,918,393,918
58,4,350,14,350
58,5,989,105,989
58,6,480,19,480
58,7,931,36,931
58,8,478,66,478
59,1,624,6,624
59,2,949,156,949
59,3,629,15,629
59,4,635,233,635
59,5,432,11,432
59,6,246,24,246
59,7,458,14,458
59,8,813,140,813
60,1,179,1,179
60,2,411,28,411
60,3,777,85,777
60,4,426,120,426
60,5,998,58,998
60,6,841,100,841
60,7,351,35,351
60,8,689,102,689
61,1,667,25,667
61,2,754,117,754
61,3,140,34,140
61,4,770,57,770
61,5,779,73,779
61,6,877,120,877
61,7,812,45,812
61,8,614,57,614
62,1,996,99,996
62,2,941,41,941
62,3,253,30,253
62,4,700,95,700
62,5,628,10,628
62,6,354,1,354
62,7,295,116,295
62,8,779,64,779
63,1,285,3,285
63,2,994,298,994
63,3,216,15,216
63,4,377,28,377
63,5,332,23,332
63,6,568,1,568
63,7,107,29,107
63,8,758,71,758
64,1,994,39,994
64,2,835,254,835
64,3,208,49,208
64,4,746,5,746
64,5,330,16,330
64,6,143,14,143
64,7,242,38,242
64,8,913,1,913
65,1,811,320,811
65,2,370,38,370
65,3,793,21,793
65,4,461,19,461
65,5,639,48,639
65,6,340,52,340
65,7,672,57,672
65,8,211,3,211
66,1,520,97,520
66,2,505,7,505
66,3,965,14,965
66,4,727,116,727
66,5,518,196,518
66,6,314,4,314
66,7,791,81,791
66,8,131,3,131
67,1,913,128,913
67,2,938,31,938
