set,missed_task,miss_time
1,1,108
2,2,631
3,3,501
4,5,452
5,3,44141
6,3,380
7,7,244
8,6,4568
9,1,317
10,1,422
11,6,273
12,0,
13,0,
14,4,347
15,7,7322
16,6,154
17,8,534
18,5,629
19,0,
20,5,256
21,3,49490
22,7,529
23,1,593
24,2,560
25,6,493
26,5,561
27,5,370
28,4,1320
29,7,463
30,0,
31,5,892
32,8,2854
33,2,464
34,3,342
35,8,491
36,1,23192
37,3,799
38,1,739
39,3,560
40,7,280
41,7,483
42,6,393
43,5,673
44,7,589
45,4,457
46,3,19117
47,6,557
48,1,406
49,5,445
50,4,192
51,8,583
52,1,12681
53,7,115
54,3,258
55,1,372
56,1,356
57,6,473
58,1,335
59,2,3989
60,4,1119
61,0,
62,7,234
63,1,477
64,2,472
65,3,410
66,4,483
67,2,232
68,3,641
69,1,453
70,2,560
71,2,7266
72,7,514
73,1,405
74,1,329
75,5,7456
76,0,
77,8,265
78,6,8647
79,4,546
80,4,487
81,6,4404
82,7,1235
83,2,85
84,3,535
85,3,30817
86,3,732
87,3,572
88,3,561
89,8,19274
90,3,401
91,7,17419
92,3,401
93,4,468
94,6,183
95,6,28056
96,3,414
97,0,
98,3,996
99,7,2234
100,7,3482
