set,task,T,C,D
1,1,550,36,550
1,2,723,194,723
1,3,706,89,706
1,4,124,16,124
1,5,346,6,346
1,6,874,8,874
1,7,268,16,268
1,8,644,9,644
2,1,582,215,582
2,2,176,8,176
2,3,701,46,701
2,4,172,2,172
2,5,594,46,594
2,6,759,16,759
2,7,398,21,398
2,8,835,36,835
3,1,797,17,797
3,2,858,2,858
3,3,663,10,663
3,4,172,36,172
3,5,267,75,267
3,6,761,86,761
3,7,402,6,402
3,8,997,36,997
4,1,850,90,850
4,2,973,55,973
4,3,152,8,152
4,4,458,10,458
4,5,910,115,910
4,6,442,87,442
4,7,348,38,348
4,8,953,18,953
5,1,865,128,865
5,2,798,18,798
5,3,685,20,685
5,4,346,15,346
5,5,423,7,423
5,6,831,35,831
5,7,984,295,984
5,8,319,29,319
6,1,244,3,244
6,2,567,10,567
6,3,924,135,924
6,4,912,44,912
6,5,668,124,668
6,6,118,17,118
6,7,605,47,605
6,8,219,12,219
7,1,374,25,374
7,2,202,10,202
7,3,739,101,739
7,4,771,36,771
7,5,363,39,363
7,6,703,74,703
7,7,674,72,674
7,8,904,66,904
8,1,901,124,901
8,2,988,111,988
8,3,642,55,642
8,4,254,18,254
8,5,836,47,836
8,6,946,47,946
8,7,455,78,455
8,8,667,6,667
9,1,161,8,161
9,2,669,6,669
9,3,153,13,153
9,4,890,95,890
9,5,751,71,751
9,6,865,143,865
9,7,680,41,680
9,8,192,22,192
10,1,531,30,531
10,2,612,112,612
10,3,162,31,162
10,4,992,14,992
10,5,134,1,134
10,6,939,57,939
10,7,256,13,256
10,8,952,128,952
11,1,836,153,836
11,2,387,7,387
11,3,252,6,252
11,4,905,14,905
11,5,188,10,188
11,6,792,62,792
11,7,431,92,431
11,8,896,96,896
12,1,782,154,782
12,2,162,5,162
12,3,758,27,758
12,4,325,77,325
12,5,361,3,361
12,6,177,5,177
12,7,311,40,311
12,8,186,3,186
13,1,184,41,184
13,2,641,121,641
13,3,600,80,600
13,4,775,43,775
13,5,678,21,678
13,6,821,29,821
13,7,553,9,553
13,8,746,4,746
14,1,678,94,678
14,2,763,44,763
14,3,707,89,707
14,4,576,81,576
14,5,171,16,171
14,6,485,50,485
14,7,260,1,260
14,8,717,19,717
15,1,524,2,524
15,2,746,4,746
15,3,573,23,573
15,4,251,94,251
15,5,907,1,907
15,6,430,96,430
15,7,548,13,548
15,8,720,14,720
16,1,799,93,799
16,2,790,12,790
16,3,728,17,728
16,4,952,30,952
16,5,382,56,382
16,6,973,15,973
16,7,894,216,894
16,8,400,41,400
17,1,466,5,466
17,2,767,4,767
17,3,153,17,153
17,4,812,14,812
17,5,771,216,771
17,6,743,91,743
17,7,320,30,320
17,8,252,12,252
18,1,576,107,576
18,2,421,43,421
18,3,207,9,207
18,4,338,64,338
18,5,551,36,551
18,6,884,59,884
18,7,566,8,566
18,8,785,20,785
19,1,976,124,976
19,2,686,2,686
19,3,443,78,443
19,4,738,38,738
19,5,195,40,195
19,6,342,7,342
19,7,585,52,585
19,8,970,20,970
20,1,693,30,693
20,2,500,78,500
20,3,693,56,693
20,4,313,21,313
20,5,424,29,424
20,6,885,50,885
20,7,773,74,773
20,8,161,20,161
21,1,216,32,216
21,2,818,14,818
21,3,187,44,187
21,4,823,3,823
21,5,573,75,573
21,6,725,104,725
21,7,328,1,328
21,8,722,5,722
22,1,694,125,694
22,2,252,45,252
22,3,573,25,573
22,4,589,15,589
22,5,251,15,251
22,6,624,72,624
22,7,242,14,242
22,8,626,19,626
23,1,375,12,375
23,2,291,33,291
23,3,961,219,961
23,4,561,30,561
23,5,113,2,113
23,6,556,13,556
23,7,729,126,729
23,8,322,15,322
24,1,848,49,848
24,2,993,267,993
24,3,111,5,111
24,4,674,35,674
24,5,575,46,575
24,6,991,59,991
24,7,182,13,182
24,8,794,43,794
25,1,300,10,300
25,2,192,1,192
25,3,163,1,163
25,4,546,97,546
25,5,393,32,393
25,6,949,61,949
25,7,975,84,975
25,8,445,109,445
26,1,692,139,692
26,2,394,27,394
26,3,437,32,437
26,4,467,112,467
26,5,226,1,226
26,6,891,62,891
26,7,127,2,127
26,8,256,4,256
27,1,863,13,863
27,2,673,42,673
27,3,639,12,639
27,4,142,18,142
27,5,548,2,548
27,6,723,8,723
27,7,679,121,679
27,8,822,228,822
28,1,860,198,860
28,2,128,16,128
28,3,402,3,402
28,4,436,49,436
28,5,901,57,901
28,6,481,44,481
28,7,378,11,378
28,8,901,31,901
29,1,470,12,470
29,2,937,11,937
29,3,197,11,197
29,4,707,21,707
29,5,277,79,277
29,6,915,53,915
29,7,203,31,203
29,8,337,24,337
