set,task,T,C,D
1,1,109,41,108
1,2,144,20,117
1,3,171,2,170
1,4,357,10,314
1,5,252,24,252
1,6,656,96,570
1,7,586,23,493
1,8,829,37,759
2,1,681,49,680
2,2,632,272,631
2,3,626,10,563
2,4,853,90,770
2,5,835,14,808
2,6,569,35,552
2,7,839,94,711
2,8,902,73,826
3,1,378,78,332
3,2,626,5,588
3,3,178,18,145
3,4,897,9,877
3,5,193,9,182
3,6,619,11,542
3,7,455,71,436
3,8,826,282,779
4,1,221,48,179
4,2,836,18,803
4,3,654,17,525
4,4,877,34,784
4,5,156,14,140
4,6,616,59,608
4,7,463,152,452
4,8,192,13,173
5,1,973,80,931
5,2,277,1,230
5,3,391,116,349
5,4,907,120,863
5,5,483,43,430
5,6,926,133,829
5,7,501,36,435
5,8,765,56,632
6,1,959,51,914
6,2,900,9,862
6,3,198,32,182
6,4,669,74,584
6,5,243,4,238
6,6,693,190,662
6,7,654,6,601
6,8,889,229,779
7,1,537,50,466
7,2,775,9,774
7,3,621,86,552
7,4,387,25,383
7,5,582,77,480
7,6,836,6,673
7,7,299,107,244
7,8,100,8,84
8,1,386,61,317
8,2,632,34,562
8,3,535,31,487
8,4,402,151,393
8,5,251,18,239
8,6,158,5,144
8,7,983,41,872
8,8,413,40,366
9,1,162,2,155
9,2,194,53,186
9,3,765,25,754
9,4,356,3,292
9,5,190,6,186
9,6,508,167,471
9,7,237,33,235
9,8,501,29,498
10,1,233,2,189
10,2,347,32,300
10,3,640,13,606
10,4,852,272,788
10,5,382,12,328
10,6,454,115,451
10,7,399,15,329
10,8,276,35,247
11,1,660,16,578
11,2,671,86,597
11,3,238,13,193
11,4,292,10,283
11,5,552,75,449
11,6,297,105,273
11,7,578,5,562
11,8,940,141,833
12,1,806,190,749
12,2,930,6,827
12,3,305,27,294
12,4,906,165,802
12,5,538,27,456
12,6,741,148,716
12,7,611,7,532
12,8,581,69,556
13,1,915,66,814
13,2,882,14,815
13,3,390,63,382
13,4,784,156,753
13,5,741,131,729
13,6,276,28,258
13,7,296,21,274
13,8,564,53,523
14,1,670,173,545
14,2,842,82,707
14,3,461,15,454
14,4,123,14,101
14,5,801,184,696
14,6,912,80,907
14,7,613,26,590
14,8,361,8,344
15,1,934,86,809
15,2,501,68,473
15,3,234,25,215
15,4,795,133,742
15,5,380,42,354
15,6,300,22,294
15,7,179,23,162
15,8,914,66,739
16,1,941,59,782
16,2,245,14,231
16,3,976,8,811
16,4,731,145,708
16,5,433,37,363
16,6,160,57,154
16,7,279,5,246
16,8,387,40,354
17,1,544,110,539
17,2,562,38,507
17,3,838,155,771
17,4,944,34,933
17,5,806,84,801
17,6,429,83,356
17,7,423,13,362
17,8,139,10,117
18,1,586,24,570
18,2,350,4,309
18,3,747,144,684
18,4,973,46,851
18,5,162,5,143
18,6,754,29,608
18,7,850,208,824
18,8,655,187,565
