set,task,T,C,D
1,1,428,3,395
1,2,927,39,883
1,3,446,19,433
1,4,118,1,106
1,5,123,28,117
1,6,952,250,892
1,7,735,61,692
1,8,124,2,100
2,1,758,137,626
2,2,795,76,668
2,3,753,19,729
2,4,172,7,160
2,5,776,134,753
2,6,563,88,553
2,7,691,7,606
2,8,906,11,766
3,1,774,20,733
3,2,574,271,555
3,3,738,58,599
3,4,676,7,665
3,5,347,5,281
3,6,655,1,526
3,7,835,15,801
3,8,404,29,383
4,1,212,6,177
4,2,700,36,627
4,3,830,162,796
4,4,879,26,875
4,5,314,33,272
4,6,958,103,908
4,7,335,28,310
4,8,799,75,674
5,1,371,4,311
5,2,944,33,925
5,3,668,34,538
5,4,873,154,805
5,5,988,19,822
5,6,224,19,224
5,7,311,51,279
5,8,107,16,100
6,1,508,42,484
6,2,535,27,467
6,3,889,64,816
6,4,748,122,715
6,5,809,122,674
6,6,632,92,517
6,7,331,8,301
6,8,196,1,191
7,1,593,9,505
7,2,952,13,801
7,3,836,99,747
7,4,745,34,729
7,5,594,116,522
7,6,246,37,198
7,7,486,7,454
7,8,699,97,603
8,1,659,2,644
8,2,971,230,891
8,3,334,83,326
8,4,664,28,562
8,5,287,1,278
8,6,962,83,941
8,7,244,12,213
8,8,690,15,599
9,1,344,15,325
9,2,779,11,683
9,3,622,19,613
9,4,478,167,432
9,5,634,21,529
9,6,888,49,858
9,7,914,95,877
9,8,535,34,514
10,1,635,120,559
10,2,603,1,581
10,3,136,9,122
10,4,757,17,659
10,5,529,48,481
10,6,560,38,505
10,7,239,20,221
10,8,713,118,593
11,1,954,84,814
11,2,158,9,156
11,3,444,32,364
11,4,643,19,562
11,5,942,9,858
11,6,905,102,840
11,7,159,1,157
11,8,729,236,665
12,1,881,61,768
12,2,635,8,513
12,3,141,18,123
12,4,896,2,802
12,5,425,40,391
12,6,424,105,412
12,7,650,38,569
12,8,152,11,139
13,1,103,7,83
13,2,366,16,363
13,3,715,17,579
13,4,146,3,117
13,5,387,72,348
13,6,717,64,678
