set,missed_task,miss_time
1,0,
2,2,294
3,3,430
4,1,412
5,5,359
6,2,1582
7,0,
8,0,
9,5,313
10,0,
11,2,323
12,4,996
13,4,18245
14,3,43393
15,0,
16,1,11041
17,0,
18,4,294
19,2,181
20,0,
21,5,364
22,0,
23,1,3735
24,1,437
25,1,210
26,0,
27,0,
28,0,
29,4,439
30,3,77221
31,4,347
32,1,2573
33,5,369
34,0,
35,0,
36,3,22070
37,0,
38,2,17548
39,0,
40,0,
41,0,
42,1,1053
43,4,359
44,3,563
45,3,2836
46,0,
47,1,115
48,1,466
49,1,375
50,2,3024
51,3,1120
52,0,
53,0,
54,0,
55,1,336
56,5,839
57,1,22205
58,1,15866
59,5,173
60,1,197
61,0,
62,1,391
63,2,340
64,0,
65,2,456
66,4,321
67,0,
68,5,2709
69,3,2989
70,0,
71,2,396
72,0,
73,4,14896
74,5,1129
75,2,216
76,0,
77,5,322
78,0,
79,5,25244
80,5,247
81,4,17187
82,4,2235
83,4,2218
84,0,
85,5,1071
86,0,
87,0,
88,3,505
89,0,
90,4,332
91,5,301
92,3,735
93,0,
94,0,
95,0,
96,2,370
97,5,3055
98,0,
99,0,
100,0,
